ID,texte,titre,categorie,urgence,temps_resolution,type_ticket,nb_mots,text_full
7 250,regule créer les projets mycoster sol et tranxene sur citrix,regule créer les projets mycoster sol et tranxene sur citrix,Utilitaires/Request,Basse,1.02,Demande,10,regule créer les projets mycoster sol et tranxene sur citrix regule créer les projets mycoster sol et tranxene sur citrix
7 467_dup_5,pb bornes zenata pour mme asmae chadli,pb bornes zenata pour mme asmae chadli,Autre,Moyenne,23.07,Incident,7,pb bornes zenata pour mme asmae chadli pb bornes zenata pour mme asmae chadli
7 673_dup_2,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan,peut pas accéder ã la boite mail pour salma haidan,Bureautique/Incident,Moyenne,5.825,Incident,20,peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan peut pas accéder ã la boite mail pour salma haidan
7 312_dup_17,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 677_dup_9,compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi,compte windows est verrouillé pour youssef bahaddi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour youssef bahaddi compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi
7 489_dup_6,probléme d'accés odoo,probléme d'accés odoo,Applications,Moyenne,5.95,Incident,3,probléme d'accés odoo probléme d'accés odoo
7 661_dup_9,accès au partage pour omaima najim accès au partage pour omaima najim,accès au partage pour omaima najim,Accès au partage,Moyenne,5.825,Demande,12,accès au partage pour omaima najim accès au partage pour omaima najim accès au partage pour omaima najim
7 674_dup_6,aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive,aicha ikhrichi peut pas accéder ã onedrive,Autre,Moyenne,5.825,Incident,14,aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive
6 984,demande de création compte ad pour mmdouhaymi aymen,demande de création compte ad pour mmdouhaymi aymen,Création compte AD,Basse,10.18,Demande,8,demande de création compte ad pour mmdouhaymi aymen demande de création compte ad pour mmdouhaymi aymen
6 946,regule débloquer l'user i0180316 boukchouch,regule débloquer l'user i0180316 boukchouch,Autre,Basse,3.67,Demande,5,regule débloquer l'user i0180316 boukchouch regule débloquer l'user i0180316 boukchouch
7 162_dup_2,affectation d'une ligne téléphonique pour haitam kerbane,affectation d'une ligne téléphonique pour haitam kerbane,Utilitaires/Request,Moyenne,66.68,Demande,7,affectation d'une ligne téléphonique pour haitam kerbane affectation d'une ligne téléphonique pour haitam kerbane
7 657_dup_4,installation souris sans fil ã sanaa bakkaddour installation de la souris sans fil via le laptop,installation souris sans fil ã sanaa bakkaddour,Accessoires/Request,Moyenne,5.825,Demande,16,installation souris sans fil ã sanaa bakkaddour installation souris sans fil ã sanaa bakkaddour installation de la souris sans fil via le laptop
7 676_dup_1,installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir,installation microsoft office 365 via laptop de ghafir el idrissi el bachir,Autre,Moyenne,5.825,Incident,24,installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir
7 312_dup_63,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 632,problème imprimante ma15,problème imprimante ma15,Impressions & Scanner,Basse,7.17,Incident,3,problème imprimante ma15 problème imprimante ma15
7 256_dup_28,problèmes de connexion,problèmes de connexion,Bureautique/Incident,Haute,151.17,Incident,3,problèmes de connexion problèmes de connexion
7 498_dup_10,lenteur reseau wifi depuis salle tanger,lenteur reseau wifi depuis salle tanger,Autre,Moyenne,19.67,Incident,6,lenteur reseau wifi depuis salle tanger lenteur reseau wifi depuis salle tanger
7 182,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,5.68,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 151,regule demande de créer les projets cordarone 200mg_cp et eucalyptine sirop sur citrix,regule demande de créer les projets cordarone 200mg_cp et eucalyptine sirop sur citrix,Utilitaires/Request,Basse,9.6,Demande,13,regule demande de créer les projets cordarone 200mg_cp et eucalyptine sirop sur citrix regule demande de créer les projets cordarone 200mg_cp et eucalyptine sirop sur citrix
7 670_dup_8,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
6 973_dup_34,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 024,demande d'accès répertoire partagé crédit management,demande d'accès répertoire partagé crédit management,Autre,Basse,18.15,Demande,6,demande d'accès répertoire partagé crédit management demande d'accès répertoire partagé crédit management
7 392_dup_27,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 153,imprimante ma44 en arrêt,imprimante ma44 en arrêt,Impressions & Scanner/Incident,Basse,13.9,Incident,4,imprimante ma44 en arrêt imprimante ma44 en arrêt
7 643,probléme au niveau du pc unité central,probléme au niveau du pc unité central,Matériel/Incident,Basse,5.825,Incident,7,probléme au niveau du pc unité central probléme au niveau du pc unité central
6 973_dup_23,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 481,demade de prevoir un laptop avec ces prérequis ci-dessous pour zakaria,demade de prevoir un laptop avec ces prérequis ci-dessous pour zakaria,Laptop/Request,Basse,16.67,Demande,11,demade de prevoir un laptop avec ces prérequis ci-dessous pour zakaria demade de prevoir un laptop avec ces prérequis ci-dessous pour zakaria
6 931,maphar edr microsoft 23209 23210,maphar edr microsoft 23209 23210,Sécurité/Sophos,Basse,15.95,Incident,5,maphar edr microsoft 23209 23210 maphar edr microsoft 23209 23210
6 973_dup_54,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 235,regule créer le projet artane cp sur le folder pf 2025 empower,regule créer le projet artane cp sur le folder pf 2025 empower,Création de projet,Basse,1.45,Demande,12,regule créer le projet artane cp sur le folder pf 2025 empower regule créer le projet artane cp sur le folder pf 2025 empower
6 973_dup_24,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 391,demande de changement compte ad sadik fatimaezzahra,demande de changement compte ad sadik fatimaezzahra,Compte AD,Basse,3.92,Demande,7,demande de changement compte ad sadik fatimaezzahra demande de changement compte ad sadik fatimaezzahra
7 677,compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi,compte windows est verrouillé pour youssef bahaddi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour youssef bahaddi compte windows est verrouillé pour youssef bahaddi déverrouillage du compte windows pour youssef bahaddi
7 676_dup_4,installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir,installation microsoft office 365 via laptop de ghafir el idrissi el bachir,Autre,Moyenne,5.825,Incident,24,installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir installation microsoft office 365 via laptop de ghafir el idrissi el bachir
7 247,demande de création compte ad pour m mouakkid oussama,demande de création compte ad pour m mouakkid oussama,Création compte AD,Basse,2.48,Demande,9,demande de création compte ad pour m mouakkid oussama demande de création compte ad pour m mouakkid oussama
7 308,problème scanner dg,problème scanner dg,Accès au partage,Basse,42.15,Incident,3,problème scanner dg problème scanner dg
7 008,probleme imprimante ma44,probleme imprimante ma44,Autre,Basse,17.38,Incident,3,probleme imprimante ma44 probleme imprimante ma44
7 065,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,17.38,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 473_dup_4,demande accès réseau de partage pv sara tebaa,demande accès réseau de partage pv sara tebaa,Autre,Moyenne,9.2,Demande,8,demande accès réseau de partage pv sara tebaa demande accès réseau de partage pv sara tebaa
6 973_dup_56,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
6 921,demande de créer le projet péridys cp pour 2025,demande de créer le projet péridys cp pour 2025,Création de projet,Basse,5.825,Demande,9,demande de créer le projet péridys cp pour 2025 demande de créer le projet péridys cp pour 2025
7 127,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa email,demande de changement de bande,Changement de bande,Basse,4.63,Demande,32,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa email
7 655_dup_4,installation souris sans fil ã bouchra eljamii installation de la souris sans fil ã bouchra eljamii,installation souris sans fil ã bouchra eljamii,Accessoires/Request,Moyenne,19.33,Demande,16,installation souris sans fil ã bouchra eljamii installation souris sans fil ã bouchra eljamii installation de la souris sans fil ã bouchra eljamii
7 473_dup_8,demande accès réseau de partage pv sara tebaa,demande accès réseau de partage pv sara tebaa,Autre,Moyenne,9.2,Demande,8,demande accès réseau de partage pv sara tebaa demande accès réseau de partage pv sara tebaa
7 306,demande de donner l'accès partage instruction_de_fabrication_t hamam,demande de donner l'accès partage instruction_de_fabrication_t hamam,Accès au partage,Basse,1.02,Demande,7,demande de donner l'accès partage instruction_de_fabrication_t hamam demande de donner l'accès partage instruction_de_fabrication_t hamam
7 146,demande d'augmenter la taille de projet bétaserc 24mg cp,demande d'augmenter la taille de projet bétaserc 24mg cp,Augmentation de taille,Basse,5.825,Demande,9,demande d'augmenter la taille de projet bétaserc 24mg cp demande d'augmenter la taille de projet bétaserc 24mg cp
7 480_dup_49,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 473_dup_2,demande accès réseau de partage pv sara tebaa,demande accès réseau de partage pv sara tebaa,Autre,Moyenne,9.2,Demande,8,demande accès réseau de partage pv sara tebaa demande accès réseau de partage pv sara tebaa
6 974,problème d'accès internet,problème d'accès internet,Connexion internet,Basse,15.93,Incident,3,problème d'accès internet problème d'accès internet
7 670_dup_12,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
7 413,problème wifi zone production,problème wifi zone production,Laptop/Request,Basse,11.87,Incident,4,problème wifi zone production problème wifi zone production
7 256_dup_5,problèmes de connexion,problèmes de connexion,Bureautique/Incident,Haute,151.17,Incident,3,problèmes de connexion problèmes de connexion
7 053,problème d'accès session windows,problème d'accès session windows,accès Windows,Basse,9.8,Incident,4,problème d'accès session windows problème d'accès session windows
7 126,départ mme lamtioui,départ mme lamtioui,Compte AD dÃ©sactivation,Basse,3.68,Demande,3,départ mme lamtioui départ mme lamtioui
7 159_dup_43,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 559,thermoclient cobalt ne fonctionne pas,thermoclient cobalt ne fonctionne pas,Applications,Basse,2.15,Incident,5,thermoclient cobalt ne fonctionne pas thermoclient cobalt ne fonctionne pas
7 188,probleme connexion outlook,probleme connexion outlook,Bureautique/Incident,Basse,6.75,Incident,3,probleme connexion outlook probleme connexion outlook
7 212,demande pour libérer le lecteur,demande pour libérer le lecteur,Changement de bande,Basse,10.12,Demande,5,demande pour libérer le lecteur demande pour libérer le lecteur
7 675_dup_7,compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi,compte windows est verrouillé pour amal lamsoundi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour amal lamsoundi compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi
7 033,problème aux partages réseaux,problème aux partages réseaux,Accès au partage,Basse,10.25,Incident,4,problème aux partages réseaux problème aux partages réseaux
7 312_dup_36,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 191,demande de création du projet sur swift,demande de création du projet sur swift,Création de projet,Basse,5.825,Demande,7,demande de création du projet sur swift demande de création du projet sur swift
7 558_dup_11,demande d' accès partage marouane aaffale,demande d' accès partage marouane aaffale,Autre,Moyenne,1.23,Demande,6,demande d' accès partage marouane aaffale demande d' accès partage marouane aaffale
7 049,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,4.77,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 384,problème acces partage délai probléme,problème acces partage délai probléme,Accès au partage,Basse,2.53,Incident,5,problème acces partage délai probléme problème acces partage délai probléme
7 277,session windows a déverrouiller,session windows a déverrouiller,accès Windows,Basse,1.48,Incident,4,session windows a déverrouiller session windows a déverrouiller
7 591,demande de donner acces partage ecriture modification,demande de donner acces partage ecriture modification,Accès au partage,Basse,3.55,Demande,7,demande de donner acces partage ecriture modification demande de donner acces partage ecriture modification
6 944,regule créer le projet nodol_fen_200mg_cp_2025 pour 2025,regule créer le projet nodol_fen_200mg_cp_2025 pour 2025,Création de projet,Basse,7.75,Demande,7,regule créer le projet nodol_fen_200mg_cp_2025 pour 2025 regule créer le projet nodol_fen_200mg_cp_2025 pour 2025
6 973_dup_45,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
